ID,標題,國家,建立日期,緯度,經度,評分,心得內容,照片數量,種類
,東京鐵塔,日本,2024-03-15,35.6586,139.7454,5,必去！夜景超美，推薦傍晚時分前往。,3,attraction
,築地外場市場,日本,2024-03-16,35.6654,139.7707,4,新鮮海產，現場享用壽司超值。,2,food
,新宿格拉斯麗飯店,日本,2024-03-14,35.6940,139.6994,4,位置佳，步行至歌舞伎町很方便。,1,accommodation
,表參道Hills,日本,2024-03-17,35.6658,139.7124,3,設計感十足的購物中心，品牌齊全。,0,shopping
,富士山五合目,日本,2024-03-20,35.3606,138.7274,5,雲霧繚繞，壯觀雄偉，此生必訪。,4,nature
,淺草寺,日本,2024-03-18,35.7148,139.7967,4,東京最古老的寺廟，仲見世商店街很熱鬧。,2,culture
,環球影城（大阪）,日本,2024-04-05,34.6654,135.4323,5,哈利波特區域超棒，建議提早入園。,5,entertainment
,關西國際機場,日本,2024-04-07,34.4348,135.2440,3,航廈間移動距離遠，預留充足時間。,0,transport
,曼谷大皇宮,泰國,2024-01-10,13.7500,100.4913,5,金碧輝煌，建議早上前往避開人潮。,6,culture
,恰圖恰週末市集,泰國,2024-01-11,13.7999,100.5500,4,超大規模跳蚤市場，挖寶好去處。,3,shopping
,皮皮島,泰國,2024-01-14,7.7407,98.7784,5,海水清澈見底，浮潛體驗絕佳。,8,nature
,路康路夜市,泰國,2024-01-12,13.7563,100.5018,4,在地美食集散地，推薦打拋豬和芒果糯米飯。,2,food
,巴黎艾菲爾鐵塔,法國,2023-09-05,48.8584,2.2945,5,登頂俯瞰巴黎，浪漫指數破表。,4,attraction
,羅浮宮,法國,2023-09-06,48.8606,2.3376,5,館藏豐富，建議至少安排半天以上。,7,culture
,紐約中央公園,美國,2023-06-20,40.7851,-73.9683,4,城市中的綠洲，很適合散步騎車。,3,nature
,時代廣場,美國,2023-06-21,40.7580,-73.9855,3,霓虹燈繽紛，熱鬧但人潮擁擠。,5,entertainment
,台北101,台灣,2023-12-31,25.0336,121.5647,4,跨年煙火觀賞聖地，提早卡位。,2,attraction
,鼎泰豐（信義店）,台灣,2024-01-01,25.0336,121.5643,5,小籠包皮薄餡多，全球最值得的米其林。,0,food
,九份老街,台灣,2023-12-30,25.1089,121.8442,4,山城夜景如神隱少女場景，茶樓推薦阿妹茶樓。,3,attraction
,花蓮太魯閣,台灣,2023-05-15,24.1573,121.6177,5,峽谷地形壯觀，步道健行強烈推薦。,5,nature
